ID_RC;Pacote_Insumo;Centro_Custo_CC;Disciplina;EAP_Itens;Data_Emissao_Obra;Data_Necessidade_Canteiro;Lead_Time_Dias;Estagio_Pipeline;Responsavel_Atual;Proxima_Acao_Gargalo;Semaforo_Risco;Budget_Custo_Direto_R$
RC-001/2026;Aço CA-50/60 Cortado e Dobrado (Fundações e Baldrames);CC-208 / CC-209 / CC-210;Infraestrutura;1.1.10, 1.1.11, 1.1.12;12/09/2026;28/09/2026;16;1. PENDENTE_SUPRIMENTOS;Suprimentos (Comprador);Disparar cotação formal para 3 fornecedores pré-qualificados;🟢 NO PRAZO;15635.66
RC-002/2026;Concreto Usinado fck 30 MPa Bombeável e Lastro fck 15 MPa;CC-202 / CC-203 / CC-205 / CC-206;Infraestrutura;1.1.3, 1.1.4, 1.1.6, 1.1.8;14/09/2026;01/10/2026;17;1. PENDENTE_SUPRIMENTOS;Suprimentos (Comprador);Disparar cotação formal para 3 fornecedores pré-qualificados;🟢 NO PRAZO;20252.08
RC-003/2026;Compensado Resinado 17mm, Pontaletes e Consumíveis de Fôrma;CC-204 / CC-205 / CC-207;Infraestrutura;1.1.5, 1.1.7, 1.1.9;12/09/2026;26/09/2026;14;1. PENDENTE_SUPRIMENTOS;Suprimentos (Comprador);Disparar cotação formal para 3 fornecedores pré-qualificados;🟡 ATENÇÃO;20286.07
RC-004/2026;Locação de Módulos Habitáveis Containers NR-18 e Sanitários Químicos;CC-103;Canteiro de Obras;1.0.3;10/09/2026;22/09/2026;12;1. PENDENTE_SUPRIMENTOS;Suprimentos (Comprador);Disparar cotação formal para 3 fornecedores pré-qualificados;🟡 ATENÇÃO;38299.98
RC-005/2026;Cimbramento e Escoramento Metálico Ajustável;CC-302;Supraestrutura;1.2.4, 1.2.6;05/10/2026;25/10/2026;20;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (05/10/2026);⚪ PLANEJADO;14850.00
RC-006/2026;Vigotas Treliçadas Pré-moldadas TR 16745 e EPS H12;CC-303;Supraestrutura;1.2.5;08/10/2026;28/10/2026;20;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (08/10/2026);⚪ PLANEJADO;23450.00
RC-007/2026;Aço CA-50/60 Cortado e Dobrado (Pilares P1-P24 e Vigas V101-V115);CC-304;Supraestrutura;1.2.7, 1.2.8;10/10/2026;30/10/2026;20;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (10/10/2026);⚪ PLANEJADO;29850.00
RC-008/2026;Concreto Usinado fck 30 MPa Bombeável (Pilares, Vigas e Capa da Laje);CC-305;Supraestrutura;1.2.1, 1.2.3, 1.2.5;15/10/2026;05/11/2026;21;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (15/10/2026);⚪ PLANEJADO;32650.00
RC-009/2026;Blocos de Concreto Estrutural/Vedação B144 (14x19x39cm);CC-401;Alvenaria e Vedações;1.3.1, 1.3.2;20/10/2026;15/11/2026;26;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (20/10/2026);⚪ PLANEJADO;21400.00
RC-010/2026;Cimento Portland CP II-E-32, Areia Média Lavada e Aditivos;CC-402;Alvenaria e Vedações;1.3.3;02/11/2026;18/11/2026;16;0. PLANEJADO_FUTURO;Engenharia (Campo);Aguardar data gatilho de emissão da RC (02/11/2026);⚪ PLANEJADO;11250.00
