COD_EAP;DESCRICAO_DO_SERVICO;DISCIPLINA;UNIDADE;QUANTIDADE_TOTAL;CUSTO_UNITARIO_BDI;CUSTO_TOTAL;EMPREITEIRO_VINCULADO;PRANCHA_REFERENCIA;FONTE_PRECO;STATUS;CODIGO_SINAPI;CENTRO_CUSTO
1.3.1;Locação da Obra e Gabarito Topográfico;Infraestrutura e Fundações;m²;298.245;15.62;4660.08;Engenharia;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;SINAPI 2026;LEVANTADO;98458;Infraestrutura
1.3.11;Impermeabilização com Tinta Asfáltica (Topo + 2 Lados);Infraestrutura e Fundações;m²;215.88;35.62;7690.73;Engenharia;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;SINAPI 2026;LEVANTADO;98546;Infraestrutura
1.3.13;Reaterro Manual/Mecanizado Compactado de Valas;Infraestrutura e Fundações;m³;21.348;45.0;960.66;Engenharia;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;SINAPI 2026;LEVANTADO;96529;Infraestrutura
1.3.14;Carga e Remoção de Terra Excedente (Bota-fora);Infraestrutura e Fundações;m³;20.286;30.0;608.58;Engenharia;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;SINAPI 2026;LEVANTADO;97914;Infraestrutura
1.3.4;Escavação Manual/Mecanizada de Valas para Baldrames;Infraestrutura e Fundações;m³;41.634;68.75;2862.34;Engenharia;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;SINAPI 2026;LEVANTADO;93358;Infraestrutura
1.3.5;Apiloamento e Regularização de Fundo de Vala;Infraestrutura e Fundações;m²;92.52;10.25;948.33;Engenharia;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;SINAPI 2026;LEVANTADO;96523;Infraestrutura
1.3.6;Lastro de Concreto Magro e=5cm para Fundação;Infraestrutura e Fundações;m³;4.626;487.5;2255.18;Engenharia;AÇU-3.DES-2.3100-11-EGS-051 rev.A.pdf;SINAPI 2026;LEVANTADO;96527;Infraestrutura
1.3.7;Fôrma de Madeira Compensada Resinada para Baldrames;Infraestrutura e Fundações;m²;164.48;90.0;14803.2;Engenharia;EGS-053, EGS-054;SINAPI 2026;LEVANTADO;92443;Infraestrutura
1.3.8;Armação Aço CA-50 em Vigas Baldrames;Infraestrutura e Fundações;kg;1077.3;18.12;19526.06;Engenharia;EGS-053, EGS-054;SINAPI 2026;LEVANTADO;92762;Infraestrutura
1.3.9;Concreto Usinado Bombeável C30 para Vigas Baldrames;Infraestrutura e Fundações;m³;15.66;637.5;9983.25;Engenharia;EGS-053, EGS-054;SINAPI 2026;LEVANTADO;94970;Infraestrutura
