ID_Requisicao;Tipo_Suprimento;Pacote_Insumo_Equipamento;Centro_Custo_CC;Disciplina;EAP_Itens;Data_Disparo;Data_Canteiro;Lead_Time_Dias;Estagio_Pipeline;Responsavel;Semaforo;Budget_R$
RC-001/2026;MATERIAL;Aço CA-50/60 Cortado e Dobrado (Fundações e Baldrames);CC-208 / CC-209 / CC-210;Infraestrutura;1.1.10, 1.1.11, 1.1.12;12/09/2026;28/09/2026;16;1. PENDENTE_SUPRIMENTOS;Suprimentos (Comprador);🟢 NO PRAZO;15635.66
RC-002/2026;MATERIAL;Concreto Usinado fck 30 MPa Bombeável e Lastro fck 15 MPa;CC-202 / CC-203 / CC-205 / CC-206;Infraestrutura;1.1.3, 1.1.4, 1.1.6, 1.1.8;14/09/2026;01/10/2026;17;1. PENDENTE_SUPRIMENTOS;Suprimentos (Comprador);🟢 NO PRAZO;20252.08
RC-003/2026;MATERIAL;Compensado Resinado 17mm, Pontaletes e Consumíveis de Fôrma;CC-204 / CC-205 / CC-207;Infraestrutura;1.1.5, 1.1.7, 1.1.9;12/09/2026;26/09/2026;14;1. PENDENTE_SUPRIMENTOS;Suprimentos (Comprador);🟡 ATENÇÃO;20286.07
RC-004/2026;MATERIAL;Locação de Módulos Habitáveis Containers NR-18 e Sanitários Químicos;CC-103;Canteiro de Obras;1.0.3;10/09/2026;22/09/2026;12;1. PENDENTE_SUPRIMENTOS;Suprimentos (Comprador);🟡 ATENÇÃO;38299.98
RC-005/2026;MATERIAL;Cimbramento e Escoramento Metálico Ajustável;CC-302;Supraestrutura;1.2.4, 1.2.6;05/10/2026;25/10/2026;20;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;14850.00
RC-006/2026;MATERIAL;Vigotas Treliçadas Pré-moldadas TR 16745 e EPS H12;CC-303;Supraestrutura;1.2.5;08/10/2026;28/10/2026;20;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;23450.00
RC-007/2026;MATERIAL;Aço CA-50/60 Cortado e Dobrado (Pilares P1-P24 e Vigas V101-V115);CC-304;Supraestrutura;1.2.7, 1.2.8;10/10/2026;30/10/2026;20;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;29850.00
RC-008/2026;MATERIAL;Concreto Usinado fck 30 MPa Bombeável (Pilares, Vigas e Capa da Laje);CC-305;Supraestrutura;1.2.1, 1.2.3, 1.2.5;15/10/2026;05/11/2026;21;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;32650.00
RC-009/2026;MATERIAL;Blocos de Concreto Estrutural/Vedação B144 (14x19x39cm);CC-401;Alvenaria e Vedações;1.3.1, 1.3.2;20/10/2026;15/11/2026;26;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;21400.00
RC-010/2026;MATERIAL;Cimento Portland CP II-E-32, Areia Média Lavada e Aditivos;CC-402;Alvenaria e Vedações;1.3.3;02/11/2026;18/11/2026;16;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;11250.00
RC-011/2026;MATERIAL;Locação de Andaimes Tubulares Fachadeiros c/ Guarda-Corpo;CC-403;Alvenaria e Fachada;1.3.4;08/11/2026;25/11/2026;17;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;7400.00
RC-012/2026;MATERIAL;Telhas Termoacústicas Sandwich PIR e Calhas Metálicas Galvanizadas;CC-501;Cobertura e Envoltória;1.4.1, 1.4.2, 1.4.3;15/10/2026;28/11/2026;44;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;48900.00
RC-013/2026;MATERIAL;Tubulações e Conexões PVC Rígido Água Fria e Esgoto Predial;CC-601;Instalações Hidrossanitárias;2.1.1, 2.1.2, 2.1.3;20/11/2026;15/12/2026;25;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;16800.00
RC-014/2026;MATERIAL;Eletrodutos Rígidos Roscáveis, Caixas 4x2 e Caixas de Passagem;CC-604;Instalações Elétricas;2.2.1, 2.2.2;25/11/2026;18/12/2026;23;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;9750.00
RC-015/2026;MATERIAL;Argamassa Industrializada de Projeção para Emboço Paulista;CC-405;Revestimentos de Parede;1.5.1, 1.5.2;01/12/2026;20/12/2026;19;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;12800.00
RC-016/2026;MATERIAL;Esquadrias de Alumínio Anodizado Preto e Vidros Temperados;CC-702;Esquadrias e Vidros;1.6.1 a 1.6.4;01/11/2026;10/01/2027;70;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;58400.00
RC-017/2026;MATERIAL;Porcelanato Esmaltado Retificado 60x60cm e Argamassa AC-III;CC-704;Pisos e Pavimentações;1.7.1, 1.7.2;10/12/2026;15/01/2027;36;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;35200.00
RC-018/2026;MATERIAL;Kits Porta Pronta de Madeira Melamínica com Fechaduras Inox;CC-701;Esquadrias de Madeira;1.6.5;05/12/2026;20/01/2027;46;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;17800.00
RC-019/2026;MATERIAL;Cabos Elétricos de Cobre Flexível 750V / 1kV (1,5 a 50 mm²);CC-605;Instalações Elétricas;2.2.3, 2.2.4;05/01/2027;25/01/2027;20;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;31200.00
RC-020/2026;MATERIAL;Quadros QDG/QDF, Disjuntores DIN, DPS, Tomadas e Interruptores;CC-606;Instalações Elétricas;2.2.5, 2.2.6;10/01/2027;28/01/2027;18;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;15900.00
RC-021/2026;MATERIAL;Louças Sanitárias, Cubas de Inox e Metais com Sensor/Pressômetro;CC-603;Instalações Hidrossanitárias;2.1.4, 2.1.5;20/01/2027;15/02/2027;26;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;23400.00
RC-022/2026;MATERIAL;Aparelhos de Ar-Condicionado Split Inverter (12k a 24k BTU) e Tubulação;CC-608;Climatização HVAC;2.3.1, 2.3.2;05/01/2027;20/02/2027;46;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;38900.00
RC-023/2026;MATERIAL;Tintas Acrílicas Laváveis Premium, Selador Acrílico e Massa PVA;CC-706;Pintura e Acabamentos;1.8.1, 1.8.2;25/01/2027;18/02/2027;24;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;14200.00
RC-024/2026;MATERIAL;Limpeza Fina Pós-Obra, Testes Globais e Desmobilização Geral;CC-105;Entrega e Comissionamento;1.9.1, 1.9.2;05/02/2027;25/02/2027;20;0. PLANEJADO_FUTURO;Engenharia (Campo);⚪ PLANEJADO;9400.00
RE-001/2026;EQUIPAMENTO;Módulo Habitável Escritório / Reuniões;CC-103;Equipamentos/Canteiro;1.0.3;10/09/2026;22/09/2026;12;1. PENDENTE_SUPRIMENTOS;Suprimentos / Locações;🟡 ATENÇÃO;11100.00
RE-002/2026;EQUIPAMENTO;Módulo Vestiário / Sanitário NR-18;CC-103;Equipamentos/Canteiro;1.0.3;10/09/2026;22/09/2026;12;1. PENDENTE_SUPRIMENTOS;Suprimentos / Locações;🟡 ATENÇÃO;10500.00
RE-003/2026;EQUIPAMENTO;Módulo Refeitório NR-18;CC-103;Equipamentos/Canteiro;1.0.3;10/09/2026;22/09/2026;12;1. PENDENTE_SUPRIMENTOS;Suprimentos / Locações;🟡 ATENÇÃO;9300.00
RE-004/2026;EQUIPAMENTO;Módulo Almoxarifado / Ferramentaria;CC-103;Equipamentos/Canteiro;1.0.3;10/09/2026;22/09/2026;12;1. PENDENTE_SUPRIMENTOS;Suprimentos / Locações;🟡 ATENÇÃO;5700.00
RE-005/2026;EQUIPAMENTO;Sanitários Químicos Portáteis (2 Cabines);CC-103;Equipamentos/Canteiro;1.0.3;10/09/2026;22/09/2026;12;1. PENDENTE_SUPRIMENTOS;Suprimentos / Locações;🟡 ATENÇÃO;1699.98
