Código RC;Título do Pacote;Disciplina;EAP Ref;Orçamento Base Custo Direto (R$);Orçamento Turnkey PV (R$);Fornecedor Cotado;CNPJ;Valor Total Cotado (R$);Diferença vs Custo Direto (R$);% Saving s/ Base CD;Prazo de Entrega;Condição de Pagamento;Frete;Nota Técnica (0-10);Status da Decisão
RC-001/2026;Aço CA-50 e CA-60 Cortado e Dobrado para Fundações e Baldrames;Infraestrutura (Fundações e Baldrames);1.1.10,1.1.11,1.1.12;15635.66;19878.99;Gerdau Aços Longos S.A. (Filial Campos dos Goytacazes);33.611.500/0001-19;15017.47;618.19;3.95%;10 dias úteis;30 DDL (Boleto faturado após entrega e conferência);CIF Canteiro TMULT (Incluso);9.8;RECOMENDADO / VENCEDOR
RC-001/2026;Aço CA-50 e CA-60 Cortado e Dobrado para Fundações e Baldrames;Infraestrutura (Fundações e Baldrames);1.1.10,1.1.11,1.1.12;15635.66;19878.99;ArcelorMittal Brasil S.A. (Distribuição Campos/RJ);17.469.701/0001-77;15509.00;126.66;0.81%;12 dias úteis;28 DDL (Faturado);CIF Canteiro TMULT (Incluso);9.3;DESQUALIFICADO COMERCIALMENTE
RC-001/2026;Aço CA-50 e CA-60 Cortado e Dobrado para Fundações e Baldrames;Infraestrutura (Fundações e Baldrames);1.1.10,1.1.11,1.1.12;15635.66;19878.99;Açofer Distribuidora de Ferro e Aço Ltda (Norte Fluminense);08.924.312/0001-45;16068.97;-433.31;-2.77%;8 dias úteis;Sinal 30% + Saldo 30 DDL;FOB Canteiro (Cobrado frete de R$ 650,00 à parte);8.1;DESQUALIFICADO COMERCIALMENTE
RC-002/2026;Concreto Usinado fck 30 MPa Bombeável e Concreto Magro fck 15 MPa;Infraestrutura (Fundações e Baldrames);1.1.3,1.1.4,1.1.6,1.1.8;20252.08;25754.56;Polimix Concreto Ltda (Central Operacional São João da Barra / Porto do Açu);27.189.912/0045-80;18965.00;1287.08;6.36%;Programação 48h prévia / Central a 14 km do Canteiro;30 DDL após emissão do laudo de ruptura de 7 dias e NF faturada;CIF Canteiro TMULT (Frete de betoneiras incluso);9.9;RECOMENDADO / VENCEDOR
RC-002/2026;Concreto Usinado fck 30 MPa Bombeável e Concreto Magro fck 15 MPa;Infraestrutura (Fundações e Baldrames);1.1.3,1.1.4,1.1.6,1.1.8;20252.08;25754.56;Supermix Concreto S.A. (Filial Campos dos Goytacazes);19.345.811/0012-34;19855.00;397.08;1.96%;Programação 72h prévia / Central a 52 km do Canteiro;28 DDL;CIF Canteiro TMULT (Incluso);9.0;DESQUALIFICADO COMERCIALMENTE
RC-002/2026;Concreto Usinado fck 30 MPa Bombeável e Concreto Magro fck 15 MPa;Infraestrutura (Fundações e Baldrames);1.1.3,1.1.4,1.1.6,1.1.8;20252.08;25754.56;Cortubos Concreto & Premoldados Ltda (Norte Fluminense);05.412.789/0001-90;20665.00;-412.92;-2.04%;Programação 5 dias úteis / Central a 60 km;Sinal 50% + Saldo 14 DDL;CIF Canteiro TMULT (Incluso);7.9;DESQUALIFICADO COMERCIALMENTE
RC-003/2026;Compensado Resinado 17mm, Madeiramento e Consumíveis de Fôrma;Infraestrutura (Fôrmas de Fundações e Baldrames);1.1.5,1.1.7,1.1.9;20286.07;25798.66;Madenorte Madeiras e Compensados Ltda (Campos dos Goytacazes/RJ);04.118.902/0001-55;19531.00;755.07;3.72%;5 dias corridos;30 DDL (Boleto bancário);CIF Canteiro TMULT (Incluso);9.7;RECOMENDADO / VENCEDOR
RC-003/2026;Compensado Resinado 17mm, Madeiramento e Consumíveis de Fôrma;Infraestrutura (Fôrmas de Fundações e Baldrames);1.1.5,1.1.7,1.1.9;20286.07;25798.66;Madeireira Real do Açu Ltda (São João da Barra/RJ);12.871.450/0001-63;20372.00;-85.93;-0.42%;3 dias corridos;28 DDL;CIF Canteiro TMULT (Incluso);8.9;DESQUALIFICADO COMERCIALMENTE
RC-003/2026;Compensado Resinado 17mm, Madeiramento e Consumíveis de Fôrma;Infraestrutura (Fôrmas de Fundações e Baldrames);1.1.5,1.1.7,1.1.9;20286.07;25798.66;Cimentão Materiais de Construção & Madeiras (Campos dos Goytacazes);01.765.344/0002-11;21084.00;-797.93;-3.93%;7 dias corridos;Sinal 50% + Saldo 30 DDL;CIF Canteiro TMULT (Incluso para pedidos acima de R$ 15k);8.0;DESQUALIFICADO COMERCIALMENTE
RC-004/2026;Locação de Módulos Habitáveis Containers NR-18 e Sanitários Químicos (6 Meses);Administração Local e Canteiro de Obras;1.0.3;38299.98;48706.08;Rentcon Locações de Módulos e Equipamentos Ltda (Base Macaé / Porto do Açu);14.288.741/0002-88;36600.00;1699.98;4.44%;7 dias úteis após contrato assinado;Medição mensal (D+30 da NF mensal de locação R$ 5.500,00/mês + Frete fracionado 50% M1 / 50% M7);Mobilização e Desmobilização Munck inclusas no pacote (R$ 3.600,00 total);9.8;RECOMENDADO / VENCEDOR
