Equipamento / Instalação Provisória;Especificação / Modelo;Unid;Mês 1;Mês 2;Mês 3;Mês 4;Finalidade Operacional
Módulo Habitável Escritório / Reuniões;Container Acoplado 6,00x2,40m c/ AC;un;1;1;1;1;Permanência integral 6 meses
Módulo Vestiário / Sanitário NR-18;Container 6,00x2,40m c/ chuveiros;un;1;1;1;1;Atende até 20 operários
Módulo Refeitório NR-18;Container 6,00x2,40m climatizado c/ mesas;un;1;1;1;1;Vivência e alimentação
Módulo Almoxarifado / Ferramentaria;Container Marítimo Dry 20 pés c/ prateleiras;un;1;1;1;1;Guarda de insumos e ferramentas
Sanitários Químicos Portáteis;Cabine Polietileno (Limpeza 2x/sem);un;2;2;2;2;Apoio de campo
Retroescavadeira 4x4 c/ Operador;Tração 4x4, caçamba 1,0 m³;un;1;0;0;0;Escavação de sapatas e cavas
Caminhão Basculante Traçado 12m³;Eixos 6x4 caçamba basculante;un;1;0;0;0;Bota-fora de terra e entulho
Compactador de Percussão (Sapo);Motor 4T Gasolina, força golpe 14 kN;un;1;0;0;0;Compactação fundo de cavas e valas
Betoneira Elétrica 400 Litros;Motor 2 CV Trifásico 220V;un;1;1;1;1;Argamassas e concreto magro
Cimbramento e Escoramento Metálico;Torres metálicas, forcados e escoras;m²·m;0;888;0;0;Suporte laje e vigas superiores
Andaimes Tubulares Fachadeiros;Quadros 1,50x1,00m c/ rodapé e guarda-corpo;m²;0;0;200;200;Alvenaria, reboco e cobertura
Máquina de Projeção de Argamassa;Rendimento 1,5 m³/h contínua;un;0;0;0;1;Aceleração emboço paulista
Bomba Hidrostática de Teste;Pressão até 25 bar c/ manômetro calibrado;un;0;0;0;1;Ensaio de estanqueidade 72h
Plataforma Elevatória Tesoura Elétrica;Altura trabalho 10m silenciosa;un;0;0;0;0;Dutos HVAC, iluminação e rede
Bomba de Vácuo + Manifold Digital;Bomba 10 CFM duplo estágio;cj;0;0;0;0;Instalação e comissionamento splits
Caçambas Estacionárias de Entulho;Capacidade 5 m³ (PGRCC);un;2;2;2;2;Giro rotativo de resíduos
Grupo Gerador Silenciado 50 kVA;Diesel automático cabinado 70 dB;un;1;1;1;0;Apoio elétrico até ligação definitiva
